,Unnamed: 0,stn,year,mo,da,temp,max,min
346,346,702190,1945,9,5,49.1,53.4,47.3
347,347,702190,1945,9,7,44.2,51.3,39.4
348,348,702190,1945,9,22,52.4,60.3,49.3
349,349,702190,1945,9,27,48.5,54.3,44.4
350,350,702190,1945,9,30,45.8,51.3,42.4
351,351,702190,1945,10,4,44.2,48.4,42.4
352,352,702190,1945,10,18,34.2,40.3,31.3
353,353,702190,1945,10,20,30.9,35.4,27.3
354,354,702190,1945,10,28,36.7,40.3,33.4
355,355,702190,1945,10,29,37.0,44.4,32.4
356,356,702190,1945,11,4,27.4,36.3,17.4
357,357,702190,1945,11,5,36.1,37.4,35.4
358,358,702190,1945,11,6,35.6,41.4,32.4
359,359,702190,1945,11,7,37.7,41.4,35.4
360,360,702190,1945,11,9,36.9,39.4,33.4
361,361,702190,1945,11,10,34.8,38.3,32.4
362,362,702190,1945,11,11,32.8,38.3,22.5
363,363,702190,1945,12,12,30.3,38.3,17.4
364,364,702190,1945,12,15,24.1,27.3,19.4
